"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","SAP","SAP","225666416640","193.335","Germany"
"2","Siemens","SIE.DE","148336648870","187.79","Germany"
"3","Deutsche Telekom","DTE.DE","117889150836","23.68","Germany"
"4","Allianz","ALV.DE","113500239827","289.52","Germany"
"5","Porsche","P911.DE","92557600000","101.6","Germany"
"6","Mercedes-Benz","MBG.DE","88832864790","83.03","Germany"
"7","BMW","BMW.DE","78610515375","123.92","Germany"
"8","Volkswagen","VOW3.DE","75914809874","137.4","Germany"
"9","Merck KGaA","MRK.DE","71929489684","165.44","Germany"
"10","Siemens Healthineers","SHL.DE","67314655626","60.33","Germany"
"11","Munich RE (Münchener Rück)","MUV2.DE","62009852230","460.7","Germany"
"12","BASF","BAS.DE","51854406514","58.1","Germany"
"13","DHL Group (Deutsche Post)","DHL.DE","50942359117","42.76","Germany"
"14","Infineon","IFX.DE","45643955167","35.01","Germany"
"15","Daimler Truck","DTG.F","41075012629","51.01","Germany"
"16","Adidas","ADS.DE","39378982139","220.55","Germany"
"17","Deutsche Börse","DB1.DE","37101910368","201.93","Germany"
"18","E.ON","EOAN.DE","35190675790","13.47","Germany"
"19","Deutsche Bank","DB","32275146752","16.145","Germany"
"20","Beiersdorf","BEI.DE","31815074647","140.27","Germany"
"21","Hannover Rück","HNR1.DE","31089373963","257.8","Germany"
"22","Henkel","HEN3.DE","30610411156","78.52","Germany"
"23","Bayer","BAYN.DE","29295387163","29.61","Germany"
"24","Hapag-Lloyd","HLAG.DE","27079524781","154.07","Germany"
"25","Rheinmetall","RHM.F","25882746401","595.93","Germany"
"26","RWE","RWE.DE","24974566167","33.58","Germany"
"27","Uniper","UN0.DE","23229433348","55.35","Germany"
"28","Sartorius","SRT.DE","23003738692","286.38","Germany"
"29","Vonovia","VNA.DE","22527104166","27.65","Germany"
"30","EnBW Energie","EBK.DE","21407986141","79.04","Germany"
"31","BioNTech","BNTX","21314514944","89.66","Germany"
"32","Talanx","TLX.DE","19934743283","77.2","Germany"
"33","HeidelbergCement","HEI.DE","19884567726","106.8","Germany"
"34","Traton","8TRA.DE","19405959706","38.38","Germany"
"35","Commerzbank","CBK.F","18054090117","14.56","Germany"
"36","Porsche SE","PAH3.DE","17016835548","55.57","Germany"
"37","Symrise","SY1.DE","16253262607","116.28","Germany"
"38","Fresenius","FRE.DE","15672576111","27.83","Germany"
"39","Siemens Energy","ENR.F","15566552863","19.65","Germany"
"40","Continental","CON.DE","14296659818","71.48","Germany"
"41","MTU Aero Engines","MTX.DE","13174918597","245.02","Germany"
"42","Knorr-Bremse","KBX.DE","12130142573","75.25","Germany"
"43","Brenntag","BNR.DE","12120730775","82.2","Germany"
"44","Nemetschek","NEM.F","11266225171","97.23","Germany"
"45","Fresenius Medical Care","FMS","11085161472","18.89","Germany"
"46","Covestro","1COV.F","10654940632","56.45","Germany"
"47","Carl Zeiss Meditec","AFXA.F","10456594405","112.6","Germany"
"48","HELLA","HLE.F","10044068532","89.97","Germany"
"49","Rational AG","RAA.F","9922257900","872.67","Germany"
"50","Evonik Industries","EVK.DE","9699924262","20.82","Germany"
"51","Lufthansa","LHA.DE","9222110628","7.71","Germany"
"52","Delivery Hero","DHER.F","9187521247","34.66","Germany"
"53","DWS Group","DWS.F","8960589277","44.8","Germany"
"54","CTS Eventim","EVD.F","8958910143","93.33","Germany"
"55","Hochtief","HOT.F","8428526150","112.06","Germany"
"56","Birkenstock","BIRK","8388308992","44.66","Germany"
"57","Deutsche Wohnen","DWNI.DE","7667085803","19.32","Germany"
"58","Telefónica Deutschland (O2)","O2D.DE","7549096301","2.54","Germany"
"59","Zalando","ZAL.DE","7304943924","28.04","Germany"
"60","GEA Group","G1A.F","7203504062","41.64","Germany"
"61","PUMA","PUM.DE","6915268463","46.02","Germany"
"62","Bechtle","BC8.F","6827955721","54.19","Germany"
"63","KION Group","KGX.DE","6750751044","51.48","Germany"
"64","Wacker Chemie","WCH.F","6185545951","124.51","Germany"
"65","LEG Immobilien","LEG.DE","6154376925","83.04","Germany"
"66","Fuchs Petrolub","FPE.F","6100743872","40.49","Germany"
"67","Scout24","G24.F","5668100546","76.39","Germany"
"68","Hensoldt","HAG.F","5184744495","44.89","Germany"
"69","Fraport","FRA.DE","4881653356","52.84","Germany"
"70","Schaeffler","SHA.F","4626002876","6.93","Germany"
"71","Krones","KRN.F","4389423785","138.37","Germany"
"72","TUI","TUI1.F","4323821984","8.52","Germany"
"73","Sixt","SIX2.F","4239209901","98.3","Germany"
"74","United Internet","UTDI.F","4151697462","23.32","Germany"
"75","Jungheinrich","JUN3.F","4147920104","41.66","Germany"
"76","Gerresheimer","GXI.F","3915708203","112.6","Germany"
"77","Fielmann","FIE.F","3866021585","45.64","Germany"
"78","HUGO BOSS","BOSS.DE","3845358926","55.72","Germany"
"79","DMG Mori","GIL.F","3754904669","47.53","Germany"
"80","IONOS Group","IOS.DE","3645517332","26.04","Germany"
"81","Thyssenkrupp","TKA.F","3564258398","5.73","Germany"
"82","Freenet","FNTN.F","3380619697","28.43","Germany"
"83","Ströer","SAX.F","3347398458","59.93","Germany"
"84","Aurubis","NDA.F","3302251156","75.19","Germany"
"85","Nordex","NDX1.F","3138671425","13.27","Germany"
"86","1&1","1U1.DE","3046500615","17.28","Germany"
"87","Software AG","SOW.F","3000527328","40.56","Germany"
"88","Südzucker","SZU.F","2948016007","14.44","Germany"
"89","Encavis","ECV.F","2942175903","18.25","Germany"
"90","Vitesco Technologies Group","VTSC.DE","2895234162","71.78","Germany"
"91","Tradegate Exchange","T2G.F","2878326964","118.02","Germany"
"92","K+S","SDF.F","2847996674","15.77","Germany"
"93","Lechwerke","LEC.F","2839866262","80.12","Germany"
"94","Aixtron","AIXA.F","2817237315","25.05","Germany"
"95","Evotec","EVO","2781812480","7.85","Germany"
