"Rank","Name","Symbol","pe_ratio_ttm","price (USD)","country"
"1","HELMA Eigenheimbau","H5E.DE","0.493291","0.28","Germany"
"2","Lanxess","LXS.F","1.74718","30.08","Germany"
"3","Hapag-Lloyd","HLAG.DE","2.27798","154.07","Germany"
"4","MVV Energie","MVV1.F","2.34352","33.78","Germany"
"5","K+S","SDF.F","2.75028","15.77","Germany"
"6","Salzgitter","SZG.F","2.78873","26.14","Germany"
"7","Metro AG","B4B.F","2.91597","5.51","Germany"
"8","Deutsche Pfandbriefbank","PBB.DE","4.43702","5.23","Germany"
"9","Südzucker","SZU.F","4.49065","14.44","Germany"
"10","Volkswagen","VOW3.DE","4.57425","137.4","Germany"
"11","BioNTech","BNTX","4.8283","89.66","Germany"
"12","Wüstenrot &amp; Württembergische","WUW.F","4.90888","14.47","Germany"
"13","Porsche SE","PAH3.DE","4.94817","55.57","Germany"
"14","Mercedes-Benz","MBG.DE","5.30179","83.03","Germany"
"15","Deutsche Telekom","DTE.DE","5.55646","23.68","Germany"
"16","Lufthansa","LHA.DE","5.65688","7.71","Germany"
"17","Verbio","VBK.F","5.69707","22","Germany"
"18","Wacker Neuson","WAC.F","6.08293","19.47","Germany"
"19","Deutsche Bank","DB","6.08643","16.145","Germany"
"20","BMW","BMW.DE","6.62162","123.92","Germany"
"21","DocCheck","AJ91.DE","6.99922","9.47","Germany"
"22","Knaus Tabbert AG","KTA.DE","7.19312","47.31","Germany"
"23","ProCredit","PCZ.DE","7.4343","9.85","Germany"
"24","DEUTZ","DEZ.DE","7.5042","6.73","Germany"
"25","Schaeffler","SHA.F","7.54917","6.93","Germany"
"26","Villeroy &amp; Boch","VIB3.DE","7.64925","20.63","Germany"
"27","Siltronic","WAF.F","7.65789","87.16","Germany"
"28","ÖKOWORLD","VVV3.DE","8.38916","30.86","Germany"
"29","1&1","1U1.DE","8.39148","17.28","Germany"
"30","RWE","RWE.DE","8.70646","33.58","Germany"
"31","Aurubis","NDA.F","9.26987","75.19","Germany"
"32","EnBW Energie","EBK.DE","9.43162","79.04","Germany"
"33","Commerzbank","CBK.F","9.46209","14.56","Germany"
"34","New Work","NWO.F","9.59716","68.43","Germany"
"35","Traton","8TRA.DE","10.2058","38.38","Germany"
"36","KWS","KWS.F","10.3436","54.14","Germany"
"37","SMA Solar Technology","S92.F","10.3818","54.3","Germany"
"38","Dürr","DUE.F","10.39","23.45","Germany"
"39","flatexDEGIRO AG","FTK.DE","10.7042","11.36","Germany"
"40","JOST Werke SE","JST.DE","10.7679","52.73","Germany"
"41","DHL Group (Deutsche Post)","DHL.DE","10.8743","42.76","Germany"
"42","Nürnberger Versicherung","NBG6.F","10.9603","70.38","Germany"
"43","Fuchs Petrolub","FPE.F","11.117","40.49","Germany"
"44","CropEnergies","CE2.F","11.2979","12.02","Germany"
"45","Hornbach Holding","HBH.DE","11.7058","81.75","Germany"
"46","Thyssenkrupp","TKA.F","11.7329","5.73","Germany"
"47","Hawesko","HAW.DE","11.7975","31.83","Germany"
"48","Allianz","ALV.DE","12.4511","289.52","Germany"
"49","Daimler Truck","DTG.F","12.5943","51.01","Germany"
"50","Talanx","TLX.DE","12.8","77.2","Germany"
"51","United Internet","UTDI.F","12.858","23.32","Germany"
"52","Allgeier","AEIN.DE","13.1868","21.87","Germany"
"53","Munich RE (Münchener Rück)","MUV2.DE","13.2094","460.7","Germany"
"54","Sixt","SIX2.F","13.224","98.3","Germany"
"55","Grenke","GLJ.F","13.5782","24.74","Germany"
"56","Infineon","IFX.DE","13.6391","35.01","Germany"
"57","ALBA SE","ABA.F","13.9814","11.37","Germany"
"58","CEWE","CWC.F","14.2609","112.39","Germany"
"59","Fresenius","FRE.DE","14.5528","27.83","Germany"
"60","Dermapharm","DMP.F","14.7419","34.54","Germany"
"61","Nagarro","NA9.DE","15.4448","81.64","Germany"
"62","TAKKT AG","TTK.DE","15.534","13.86","Germany"
"63","DATAGROUP SE","D6H.DE","15.5923","48.72","Germany"
"64","DWS Group","DWS.F","15.646","44.8","Germany"
"65","Siemens","SIE.DE","15.7613","187.79","Germany"
"66","Hochtief","HOT.F","15.885","112.06","Germany"
"67","GEA Group","G1A.F","15.89","41.64","Germany"
"68","HelloFresh","HFG.DE","15.8981","6.87","Germany"
"69","Vossloh AG","VOS.DE","15.9327","48.61","Germany"
"70","Amadeus Fire","AAD.DE","15.9976","130.58","Germany"
"71","Brenntag","BNR.DE","16.0836","82.2","Germany"
"72","HUGO BOSS","BOSS.DE","16.0973","55.72","Germany"
"73","Bertrandt","BDT.DE","16.6228","48.61","Germany"
"74","Hannover Rück","HNR1.DE","17.0578","257.8","Germany"
"75","Fraport","FRA.DE","17.7796","52.84","Germany"
"76","CompuGroup Medical","COP.DE","17.8307","32.52","Germany"
"77","Krones","KRN.F","18.0766","138.37","Germany"
"78","Norma Group","NOEJ.F","18.7949","19.08","Germany"
"79","Pfeiffer Vacuum","PFV.F","18.8837","168.25","Germany"
"80","Continental","CON.DE","19.1085","71.48","Germany"
"81","Drägerwerk","DRW8.F","19.3386","49.48","Germany"
"82","Aixtron","AIXA.F","19.6764","25.05","Germany"
"83","Deutsche Börse","DB1.DE","20.6566","201.93","Germany"
"84","IONOS Group","IOS.DE","20.8119","26.04","Germany"
"85","PUMA","PUM.DE","20.8378","46.02","Germany"
"86","Paul Hartmann","PHH2.F","20.875","232.78","Germany"
"87","Energiekontor","EKT.DE","20.8768","69.29","Germany"
"88","TeamViewer","TMV.DE","20.8966","14.35","Germany"
"89","Koenig &amp; Bauer","SKB.DE","21.3558","13.34","Germany"
"90","Medios AG","ILM1.DE","21.7514","17.32","Germany"
"91","Merck KGaA","MRK.DE","22.0766","165.44","Germany"
"92","Fresenius Medical Care","FMS","22.7597","18.89","Germany"
