"Rank","Name","Symbol","dividend_yield_ttm","price (USD)","country"
"1","HELMA Eigenheimbau","H5E.DE","15489.2","0.28","Germany"
"2","trivago","TRVG","10386","2.77","Germany"
"3","Hapag-Lloyd","HLAG.DE","4511.72","154.07","Germany"
"4","KAP AG","IUR.F","1500.34","10.72","Germany"
"5","Deutsche EuroShop","DEQ.F","1358.61","20.42","Germany"
"6","Metro AG","B4B.F","1096.2","5.51","Germany"
"7","Wacker Chemie","WCH.F","1060.56","124.51","Germany"
"8","Bayer","BAYN.DE","875.274","29.61","Germany"
"9","DocCheck","AJ91.DE","867.859","9.47","Germany"
"10","ÖKOWORLD","VVV3.DE","782.011","30.86","Germany"
"11","Telefónica Deutschland (O2)","O2D.DE","768.362","2.54","Germany"
"12","BMW","BMW.DE","755.913","123.92","Germany"
"13","Zeal Network","TIMA.F","753.956","37.46","Germany"
"14","Schaeffler","SHA.F","713.32","6.93","Germany"
"15","Mercedes-Benz","MBG.DE","696.317","83.03","Germany"
"16","Volkswagen","VOW3.DE","693.335","137.4","Germany"
"17","K+S","SDF.F","686.669","15.77","Germany"
"18","Hawesko","HAW.DE","653.161","31.83","Germany"
"19","Villeroy &amp; Boch","VIB3.DE","647.313","20.63","Germany"
"20","Freenet","FNTN.F","639.582","28.43","Germany"
"21","BASF","BAS.DE","631.889","58.1","Germany"
"22","Evonik Industries","EVK.DE","620.328","20.82","Germany"
"23","Medion AG","MDN.DE","600.425","12.45","Germany"
"24","Klöckner &amp; Co","KCO.DE","587.667","7.37","Germany"
"25","ALBA SE","ABA.F","571.659","11.37","Germany"
"26","New Work","NWO.F","567.135","68.43","Germany"
"27","Wacker Neuson","WAC.F","558.892","19.47","Germany"
"28","WashTec AG","WSU.DE","557.192","42.98","Germany"
"29","CropEnergies","CE2.F","540.771","12.02","Germany"
"30","Nürnberger Versicherung","NBG6.F","538.66","70.38","Germany"
"31","Südzucker","SZU.F","527.797","14.44","Germany"
"32","Porsche SE","PAH3.DE","504.759","55.57","Germany"
"33","DWS Group","DWS.F","502.873","44.8","Germany"
"34","Wüstenrot &amp; Württembergische","WUW.F","489.757","14.47","Germany"
"35","DHL Group (Deutsche Post)","DHL.DE","474.196","42.76","Germany"
