"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"1","BioNTech","BNTX","6614","89.63","Germany"
"2","Deutsche Wohnen","DWNI.DE","5678","19.32","Germany"
"3","Tradegate Exchange","T2G.F","4799","118.02","Germany"
"4","Hapag-Lloyd","HLAG.DE","4664","153.85","Germany"
"5","Scout24","G24.F","4553","76.39","Germany"
"6","Deutsche EuroShop","DEQ.F","4549","20.42","Germany"
"7","Deutsche Börse","DB1.DE","4339","201.93","Germany"
"8","Deutsche Pfandbriefbank","PBB.DE","4011","5.23","Germany"
"9","Morphosys","MOR","3806","18.122","Germany"
"10","K+S","SDF.F","3722","15.77","Germany"
"11","Immatics","IMTX","3185","10.68","Germany"
"12","Branicks Group","DIC.DE","2891","4.26","Germany"
"13","TeamViewer","TMV.DE","2638","14.35","Germany"
"14","Atoss","AOF.F","2572","280.97","Germany"
"15","Rational AG","RAA.F","2520","872.67","Germany"
"16","Infineon","IFX.DE","2474","35.01","Germany"
"17","Siltronic","WAF.F","2409","87.16","Germany"
"18","Zeal Network","TIMA.F","2369","37.46","Germany"
"19","Commerzbank","CBK.F","2283","14.56","Germany"
"20","Dermapharm","DMP.F","2274","34.54","Germany"
"21","Aixtron","AIXA.F","2270","25.05","Germany"
"22","DWS Group","DWS.F","2247","44.8","Germany"
"23","Sartorius","SRT.DE","2225","286.38","Germany"
"24","Encavis","ECV.F","2214","18.25","Germany"
"25","TAG Immobilien","TEG.F","2197","13.17","Germany"
"26","Nemetschek","NEM.F","2179","97.23","Germany"
"27","Carl Zeiss Meditec","AFXA.F","2179","112.6","Germany"
"28","Wacker Chemie","WCH.F","2030","124.51","Germany"
"29","New Work","NWO.F","2024","68.43","Germany"
"30","Eckert &amp; Ziegler","EUZ.F","2014","39.56","Germany"
"31","flatexDEGIRO AG","FTK.DE","1970","11.36","Germany"
"32","Grenke","GLJ.F","1950","24.74","Germany"
"33","Deutsche Bank","DB","1908","16.145","Germany"
"34","secunet","YSN.F","1892","173.88","Germany"
"35","CTS Eventim","EVD.F","1825","93.33","Germany"
"36","CropEnergies","CE2.F","1812","12.02","Germany"
"37","Merck KGaA","MRK.DE","1782","165.44","Germany"
"38","SAP","SAP","1772","193.335","Germany"
"39","BMW","BMW.DE","1758","123.92","Germany"
"40","Verbio","VBK.F","1703","22","Germany"
"41","Sixt","SIX2.F","1641","98.3","Germany"
"42","Amadeus Fire","AAD.DE","1502","130.58","Germany"
"43","Hamburger Hafen","HHFA.F","1443","18.15","Germany"
"44","Nexus AG","NXU.DE","1409","61.93","Germany"
"45","Mainova","MNV6.F","1356","389.78","Germany"
"46","Mercedes-Benz","MBG.DE","1344","83.03","Germany"
"47","Nagarro","NA9.DE","1318","81.64","Germany"
"48","Mensch und Maschine","MUM.F","1312","54.89","Germany"
"49","1&1","1U1.DE","1282","17.28","Germany"
"50","Ströer","SAX.F","1270","59.93","Germany"
"51","KWS","KWS.F","1269","54.14","Germany"
"52","GAG Immobilien","GWK3.HM","1257","60.09","Germany"
"53","Beiersdorf","BEI.DE","1245","140.27","Germany"
"54","Siemens","SIE.DE","1227","187.79","Germany"
"55","Pfeiffer Vacuum","PFV.F","1199","168.25","Germany"
"56","STRATEC","SBS.F","1147","40.39","Germany"
"57","Allianz","ALV.DE","1127","289.52","Germany"
"58","Jenoptik","JEN.F","1104","29.49","Germany"
"59","United Internet","UTDI.F","1100","23.32","Germany"
"60","SMA Solar Technology","S92.F","1087","54.3","Germany"
"61","MVV Energie","MVV1.F","1080","33.78","Germany"
"62","Fuchs Petrolub","FPE.F","1065","40.49","Germany"
"63","Villeroy &amp; Boch","VIB3.DE","1062","20.63","Germany"
"64","HeidelbergCement","HEI.DE","1051","106.8","Germany"
"65","Hensoldt","HAG.F","1044","44.89","Germany"
"66","Knorr-Bremse","KBX.DE","1037","75.25","Germany"
"67","CEWE","CWC.F","1030","112.39","Germany"
"68","GEA Group","G1A.F","995","41.64","Germany"
"69","Fielmann","FIE.F","982","45.64","Germany"
"70","Gerresheimer","GXI.F","982","112.6","Germany"
"71","Fraport","FRA.DE","980","52.84","Germany"
"72","CompuGroup Medical","COP.DE","972","32.52","Germany"
"73","Symrise","SY1.DE","933","116.28","Germany"
"74","Siemens Healthineers","SHL.DE","930","60.33","Germany"
"75","Bayer","BAYN.DE","920","29.61","Germany"
"76","DMG Mori","GIL.F","913","47.53","Germany"
"77","Simona","SIM0.F","906","73.62","Germany"
"78","DHL Group (Deutsche Post)","DHL.DE","904","42.76","Germany"
"79","Lechwerke","LEC.F","899","80.12","Germany"
"80","DATAGROUP SE","D6H.DE","886","48.72","Germany"
"81","Südzucker","SZU.F","881","14.44","Germany"
"82","HUGO BOSS","BOSS.DE","876","55.72","Germany"
"83","Wacker Neuson","WAC.F","853","19.47","Germany"
"84","Vossloh AG","VOS.DE","846","48.61","Germany"
"85","Deutsche Telekom","DTE.DE","837","23.68","Germany"
"86","Jungheinrich","JUN3.F","823","41.66","Germany"
"87","Fresenius","FRE.DE","820","27.83","Germany"
"88","Salzgitter","SZG.F","790","26.14","Germany"
"89","JOST Werke SE","JST.DE","776","52.73","Germany"
"90","Daimler Truck","DTG.F","776","51.01","Germany"
"91","Munich RE (Münchener Rück)","MUV2.DE","770","460.7","Germany"
"92","Henkel","HEN3.DE","754","78.52","Germany"
"93","MTU Aero Engines","MTX.DE","752","245.02","Germany"
"94","Patrizia Immobilien","P1Z.VI","730","9.5","Germany"
"95","Rheinmetall","RHM.F","722","595.93","Germany"
"96","WashTec AG","WSU.DE","711","42.98","Germany"
"97","Hawesko","HAW.DE","709","31.83","Germany"
"98","PUMA","PUM.DE","704","46.02","Germany"
"99","Talanx","TLX.DE","702","77.2","Germany"
"100","EnBW Energie","EBK.DE","697","79.04","Germany"
"101","Allgeier","AEIN.DE","693","21.87","Germany"
"102","Lufthansa","LHA.DE","692","7.71","Germany"
"103","Basler Aktiengesellschaft","BSL.DE","675","12.6","Germany"
"104","Hannover Rück","HNR1.DE","667","257.8","Germany"
"105","Wüstenrot &amp; Württembergische","WUW.F","660","14.47","Germany"
"106","Volkswagen","VOW3.DE","656","137.4","Germany"
"107","Krones","KRN.F","637","138.37","Germany"
"108","Traton","8TRA.DE","636","38.38","Germany"
"109","TAKKT AG","TTK.DE","632","13.86","Germany"
"110","OHB SE","OHB.DE","625","46.88","Germany"
"111","Brenntag","BNR.DE","609","82.2","Germany"
"112","Uniper","UN0.DE","589","55.26","Germany"
"113","Bechtle","BC8.F","587","54.19","Germany"
"114","Fresenius Medical Care","FMS","568","18.89","Germany"
"115","Schaeffler","SHA.F","559","6.93","Germany"
"116","Freenet","FNTN.F","550","28.43","Germany"
"117","Cancom","COK.F","526","32.5","Germany"
"118","Norma Group","NOEJ.F","514","19.08","Germany"
"119","Knaus Tabbert AG","KTA.DE","508","47.31","Germany"
"120","SYNLAB","SYAB.DE","502","11.65","Germany"
"121","Aurelius Group","AR4.DE","495","19.24","Germany"
"122","Dürr","DUE.F","483","23.45","Germany"
"123","adesso SE","ADN1.DE","467","120.18","Germany"
"124","HELLA","HLE.F","458","89.97","Germany"
"125","Hornbach Baumarkt","HBM.HM","430","54.14","Germany"
"126","Software AG","SOW.F","426","40.56","Germany"
"127","Bertrandt","BDT.DE","425","48.61","Germany"
"128","Hornbach Holding","HBH.DE","405","81.75","Germany"
"129","M1 Kliniken AG","M12.DE","358","14.89","Germany"
"130","Hochtief","HOT.F","337","112.06","Germany"
"131","Continental","CON.DE","313","71.48","Germany"
"132","Evonik Industries","EVK.DE","304","20.82","Germany"
"133","Rhön-Klinikum","RHK.DE","252","12.67","Germany"
"134","Indus Holding","INH.F","239","28.91","Germany"
