"Rank","Name","Symbol","operating_margin_ttm","price (USD)","country"
"1","OBIC","4684.T","7025","141.42","Japan"
"2","Inpex","1605.T","6432","16.19","Japan"
"3","Koei Tecmo","3635.T","5836","10.63","Japan"
"4","Nihon Falcom","3723.T","5679","7.99","Japan"
"5","Keyence","6861.T","5468","430.69","Japan"
"6","CAVE Interactive","3760.T","5333","11.01","Japan"
"7","Japan Exchange Group","8697.T","5301","27.71","Japan"
"8","Shionogi","4507.T","5211","49.55","Japan"
"9","“K” Line","9107.T","5178","13.15","Japan"
"10","GLP J-REIT","3281.T","5029","820.17","Japan"
"11","Nippon Building Fund","8951.T","4739","3982.39","Japan"
"12","UNITED","2497.T","4541","5.63","Japan"
"13","Japan Real Estate Investment","8952.T","4513","3541.36","Japan"
"14","Capcom","9697.T","4441","18","Japan"
"15","Sun Corp","6736.T","4367","22.41","Japan"
"16","Nippon Prologis REIT","3283.T","4326","1729.21","Japan"
"17","Nexon","3659.T","4100","15.99","Japan"
"18","SoftBank","9984.T","4037","56.61","Japan"
"19","Disco Corp.","6146.T","3969","369.01","Japan"
"20","Chiba Bank","CHBAY","3955","37.04","Japan"
"21","Mitsui O.S.K. Lines","9104.T","3944","29.88","Japan"
"22","Mitsui Fudosan Logistics Park","3471.T","3932","2958.81","Japan"
"23","Nintendo","7974.T","3917","51.72","Japan"
"24","Nomura Real Estate Master Fund","3462.T","3839","982.76","Japan"
"25","Lasertec","6920.T","3780","264.61","Japan"
"26","AEON REIT Investment","3292.T","3720","902.45","Japan"
"27","Chugai Pharmaceutical","4519.T","3682","35.51","Japan"
"28","Shin-Etsu Chemical","4063.T","3607","40.76","Japan"
"29","GMO Payment Gateway","3769.T","3529","54.75","Japan"
"30","Mitsubishi UFJ Financial","MUFG","3519","10.205","Japan"
"31","SMC corp","6273.T","3415","558.13","Japan"
"32","Maruwa","5344.T","3376","226.77","Japan"
"33","Oracle Corp Japan","4716.T","3309","72.77","Japan"
"34","Nippon Yūsen","9101.T","3234","26.98","Japan"
"35","M3, Inc","2413.T","3217","13.52","Japan"
"36","Ono Pharmaceutical","4528.T","3208","16.06","Japan"
"37","Mizuho Financial Group","MFG","3168","3.92","Japan"
"38","ZOZO","3092.T","3087","24.32","Japan"
"39","Resona Holdings","8308.T","3073","6.35","Japan"
"40","Renesas Electronics","6723.T","3047","18.39","Japan"
"41","Hulic","3003.T","2988","9.84","Japan"
"42","Acom","8572.T","2929","2.64","Japan"
"43","GungHo Online Entertainment","3765.T","2890","15.19","Japan"
"44","Japan Post Bank","7182.T","2878","10.46","Japan"
"45","Sumitomo Mitsui Financial Group","SMFG","2824","11.685","Japan"
"46","Hoya","7741.T","2793","115.16","Japan"
"47","Tokyo Electron","8035.T","2774","247.9","Japan"
"48","Mobile Factory","3912.T","2750","4.75","Japan"
"49","Hamamatsu","6965.T","2726","35.18","Japan"
"50","AlphaPolis","9467.T","2617","13.01","Japan"
"51","Japan Tobacco","2914.T","2595","26.98","Japan"
"52","Advantest","6857.T","2584","39.28","Japan"
"53","Shimano","7309.T","2581","145.87","Japan"
"54","Yuke's","4334.T","2533","2.88","Japan"
"55","Fanuc","6954.T","2520","27.86","Japan"
"56","Nissan Chemical","4021.T","2481","37.15","Japan"
"57","Central Japan Railway","9022.T","2481","24.18","Japan"
"58","Sumitomo Realty &amp; Development","8830.T","2450","37.41","Japan"
"59","Oriental Land","4661.T","2326","31.08","Japan"
"60","ORIX","IX","2232","106.9","Japan"
"61","NOF Corporation","4403.T","2167","13.51","Japan"
"62","Asahi Intecc","7747.T","2114","16.04","Japan"
"63","Nippon Shinyaku","4516.T","2114","28.71","Japan"
"64","Rohm","6963.T","2074","16.01","Japan"
"65","Sumitomo Mitsui Trust Holdings","8309.T","2037","21.44","Japan"
"66","Bank of Innovation","4393.T","2026","26.72","Japan"
"67","Akatsuki Inc","3932.T","2024","16.14","Japan"
"68","Toho Co.","9602.T","2022","31.96","Japan"
"69","Pilot Corporation","7846.T","2015","27.53","Japan"
"70","Nippon Ichi Software","3851.T","1896","6.97","Japan"
"71","KDDI","9433.T","1886","29","Japan"
"72","Olympus","7733.T","1874","14.17","Japan"
"73","Trend Micro","4704.T","1872","51.82","Japan"
"74","Workman","7564.T","1865","26.1","Japan"
"75","Hikari Tsushin","9435.T","1839","179.17","Japan"
"76","Mitsubishi Estate","8802.T","1835","18.73","Japan"
"77","Daiwa Securities Group","8601.T","1777","7.51","Japan"
"78","Marvelous","7844.T","1736","4.54","Japan"
"79","Kansai Paint","4613.T","1727","13.99","Japan"
"80","Murata Manufacturing (Murata Seisakusho)","6981.T","1713","18.02","Japan"
"81","Fukuoka Financial Group","8354.T","1708","26.3","Japan"
"82","Sysmex","6869.T","1677","16.52","Japan"
"83","KOBAYASHI Pharmaceutical","4967.T","1673","36.76","Japan"
"84","Yakult","2267.T","1625","20.11","Japan"
"85","TIS","3626.T","1613","21.13","Japan"
"86","ABC-Mart","2670.T","1602","19.35","Japan"
"87","Gree","3632.T","1597","3.15","Japan"
"88","Weathernews Inc.","4825.T","1588","32.48","Japan"
"89","Ibiden","4062.T","1581","41.68","Japan"
"90","Fast Retailing","9983.T","1580","295.22","Japan"
"91","Konami Holdings","9766.T","1576","65.82","Japan"
"92","Z Holdings","4689.T","1537","2.47","Japan"
"93","Nomura Research Institute","4307.T","1529","27.4","Japan"
"94","Nitori Holdings","9843.T","1526","157.75","Japan"
"95","SRA Holdings","3817.T","1522","25.8","Japan"
"96","Sega Sammy Holdings","6460.T","1517","13.04","Japan"
"97","Shimadzu","7701.T","1515","27.16","Japan"
"98","Rohto Pharmaceutical","4527.T","1489","19.34","Japan"
"99","Mitsui Fudosan","8801.T","1479","10.67","Japan"
"100","Drecom","3793.T","1464","6.92","Japan"
"101","OPTiM","3694.T","1464","6.31","Japan"
"102","Nitto Denko","6988.T","1435","93.41","Japan"
"103","Takeda Pharmaceutical","TAK","1433","13.665","Japan"
"104","Secom","9735.T","1392","70.89","Japan"
"105","Komatsu","6301.T","1391","30.09","Japan"
"106","Terumo","4543.T","1387","17.47","Japan"
"107","NTT (Nippon Telegraph &amp; Telephone)","NPPXF","1379","1.145","Japan"
"108","Pigeon","7956.T","1350","9.41","Japan"
"109","Harmonic Drive Systems","6324.T","1343","26.23","Japan"
"110","Tokai Carbon","5301.T","1334","6.73","Japan"
"111","Nomura Holdings","NMR","1314","6.215","Japan"
"112","Gala Incorporated","4777.T","1310","1.57","Japan"
"113","Yaskawa","6506.T","1307","40.31","Japan"
"114","Imagineer","4644.T","1300","6.46","Japan"
"115","Unicharm","8113.T","1293","30.05","Japan"
"116","Dai Nippon Printing","7912.T","1271","30.02","Japan"
"117","SG Holdings","9143.T","1260","12.55","Japan"
"118","Bridgestone","5108.T","1256","43.66","Japan"
"119","SCSK Corporation","9719.T","1255","18.57","Japan"
"120","kyowa Kirin","4151.T","1236","17.36","Japan"
"121","Otsuka Holdings","4578.T","1203","41.27","Japan"
"122","Omron","6645.T","1176","34.93","Japan"
"123","Square Enix","9684.T","1168","36.94","Japan"
"124","Monotaro","3064.T","1154","11.57","Japan"
"125","Dentsu","4324.T","1142","27.21","Japan"
"126","Yamaha Motor","7272.T","1141","9.48","Japan"
"127","Nifco Inc.","7988.T","1140","25.3","Japan"
"128","Toyo Tire","5105.T","1131","18.55","Japan"
"129","MISUMI Group","9962.T","1131","14.79","Japan"
"130","Tose Software","4728.T","1126","4.65","Japan"
"131","Ajinomoto","2802.T","1116","36.93","Japan"
"132","Rinnai Corporation","5947.T","1112","22.27","Japan"
"133","Daiichi Sankyō","4568.T","1108","30.75","Japan"
"134","COLOPL","3668.T","1105","4.02","Japan"
"135","Bandai Namco","7832.T","1102","18.38","Japan"
"136","Shinkin Central Bank","8421.T","1091","1735.14","Japan"
"137","Sumitomo","8053.T","1090","24.47","Japan"
"138","Yamaha","7951.T","1086","21.4","Japan"
"139","Meiji Holdings","2269.T","1081","22.03","Japan"
"140","Kyocera","6971.T","1081","12.88","Japan"
"141","Toyo Suisan","2875.T","1077","59.02","Japan"
"142","Recruit","6098.T","1072","44.52","Japan"
"143","Sumitomo Metal Mining","5713.T","1066","33.21","Japan"
"144","TechnoPro Holdings","6028.T","1059","19.76","Japan"
"145","TENDA","4198.T","1058","14.87","Japan"
"146","Tōkyō Gas","9531.T","1046","23.06","Japan"
"147","Ebara Corporation","6361.T","1025","88.24","Japan"
"148","Kubota","6326.T","1001","16.57","Japan"
"149","Daikin","6367.T","990","132.5","Japan"
"150","Mitsui Bussan","8031.T","990","47.86","Japan"
"151","Toyota","TM","987","244.3","Japan"
"152","Fujifilm","4901.T","987","22.35","Japan"
"153","Mitsui High-tec","6966.T","985","51.68","Japan"
"154","Citizen Watch","7762.T","983","6.89","Japan"
"155","ANA Holdings","9202.T","977","20.32","Japan"
"156","Astellas Pharma","4503.T","975","10.51","Japan"
"157","Nippon Steel","5401.T","975","23.71","Japan"
"158","Kikkoman","2801.T","975","12.74","Japan"
"159","Hitachi Construction Machinery","6305.T","971","31.39","Japan"
"160","Nissin Foods","2897.T","971","26.83","Japan"
"161","Hankyu Hanshin Holdings","9042.T","967","28.59","Japan"
"162","Fujitsu","6702.T","956","16.25","Japan"
"163","Nippon Sanso","4091.T","952","29.82","Japan"
"164","Sony","SONY","951","84.47","Japan"
"165","SBI Holdings","8473.T","948","25.54","Japan"
"166","East Japan Railway","9020.T","941","19.07","Japan"
"167","Subaru","7270.T","940","23.14","Japan"
"168","Canon","7751.T","936","29.21","Japan"
"169","Daifuku","6383.T","928","22.84","Japan"
"170","Daiwa House","1925.T","925","29.48","Japan"
"171","Sekisui Chemical","4204.T","916","14.77","Japan"
"172","TDK","6762.T","906","50.03","Japan"
"173","Sanwa Holdings","5929.T","900","17.54","Japan"
"174","Sumitomo Pharma","4506.T","885","2.69","Japan"
"175","Asahi Group","2502.T","883","36.74","Japan"
"176","Nikon","NINOY","880","10.282","Japan"
"177","Tokyu Fudosan Holdings","3289.T","879","7.83","Japan"
"178","Kosé","4922.T","877","50.96","Japan"
"179","Taisho Pharmaceutical","4581.T","874","56.48","Japan"
"180","Sekisui House","1928.T","873","23.19","Japan"
"181","Silicon Studio","3907.T","872","7.56","Japan"
"182","Eisai","4523.T","871","40.28","Japan"
"183","Isuzu","7202.T","865","13.71","Japan"
"184","ALSOK","2331.T","859","5.49","Japan"
"185","Toyota Industries","6201.T","853","94.46","Japan"
"186","Suzuki Motor","7269.T","849","11.98","Japan"
"187","Nippon Paint","4612.T","849","6.84","Japan"
"188","Suntory","2587.T","844","34.22","Japan"
"189","McDonald's Japan","2702.T","836","45.55","Japan"
"190","Bushiroad","7803.T","835","2.43","Japan"
"191","Tobu Railway","9001.T","826","23.86","Japan"
"192","Mitsubishi Corporation","8058.T","817","23.18","Japan"
"193","Hitachi","6501.T","817","91.5","Japan"
"194","Tokio Marine","8766.T","809","31.62","Japan"
"195","ASICS Corporation","7936.T","793","47.53","Japan"
"196","Itōchū Shōji","8001.T","793","44.42","Japan"
"197","Mixi","2121.T","791","17.15","Japan"
