"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"1","BMW","BMW.DE","29051400000","123.92","Germany"
"2","Volkswagen","VOW3.DE","24518500000","137.4","Germany"
"3","Mercedes-Benz","MBG.DE","22648500000","83.03","Germany"
"4","Siemens","SIE.DE","13289300000","187.79","Germany"
"5","Allianz","ALV.DE","13058700000","289.52","Germany"
"6","Deutsche Telekom","DTE.DE","12915400000","23.68","Germany"
"7","Deutsche Bank","DB","8656000000","16.145","Germany"
"8","Porsche","P911.DE","8210600000","101.6","Germany"
"9","Uniper","UN0.DE","8036270000","55.35","Germany"
"10","Munich RE (Münchener Rück)","MUV2.DE","7417000000","460.7","Germany"
"11","SAP","SAP","7213360000","193.335","Germany"
"12","DHL Group (Deutsche Post)","DHL.DE","7118210000","42.76","Germany"
"13","EnBW Energie","EBK.DE","6420240000","79.04","Germany"
"14","Porsche SE","PAH3.DE","5921800000","55.57","Germany"
"15","Daimler Truck","DTG.F","5785730000","51.01","Germany"
"16","Traton","8TRA.DE","4489850000","38.38","Germany"
"17","RWE","RWE.DE","4294410000","33.58","Germany"
"18","Infineon","IFX.DE","4157020000","35.01","Germany"
"19","Merck KGaA","MRK.DE","3773790000","165.44","Germany"
"20","Commerzbank","CBK.F","3678100000","14.56","Germany"
"21","Hapag-Lloyd","HLAG.DE","3294310000","154.07","Germany"
"22","Henkel","HEN3.DE","3251390000","78.52","Germany"
"23","Lufthansa","LHA.DE","3120600000","7.71","Germany"
"24","Talanx","TLX.DE","3065490000","77.2","Germany"
"25","Deutsche Börse","DB1.DE","2671010000","201.93","Germany"
"26","Hannover Rück","HNR1.DE","2669960000","257.8","Germany"
"27","HeidelbergCement","HEI.DE","2614690000","106.8","Germany"
"28","Siemens Healthineers","SHL.DE","2134770000","60.33","Germany"
"29","Fresenius","FRE.DE","2025050000","27.83","Germany"
"30","Continental","CON.DE","1757690000","71.48","Germany"
"31","Deutsche Wohnen","DWNI.DE","1528440000","19.32","Germany"
"32","BASF","BAS.DE","1526630000","58.1","Germany"
"33","Südzucker","SZU.F","1170060000","14.44","Germany"
"34","Fresenius Medical Care","FMS","1122650000","18.89","Germany"
"35","Brenntag","BNR.DE","1087610000","82.2","Germany"
"36","Beiersdorf","BEI.DE","1085800000","140.27","Germany"
"37","Hochtief","HOT.F","1064740000","112.06","Germany"
"38","BioNTech","BNTX","1007330000","89.66","Germany"
"39","Knorr-Bremse","KBX.DE","940175000","75.25","Germany"
"40","Rheinmetall","RHM.F","884733000","595.93","Germany"
"41","Metro AG","B4B.F","868533000","5.51","Germany"
"42","DWS Group","DWS.F","841934000","44.8","Germany"
"43","TUI","TUI1.F","744924000","8.52","Germany"
"44","PUMA","PUM.DE","686961000","46.02","Germany"
"45","United Internet","UTDI.F","647593000","23.32","Germany"
"46","Schaeffler","SHA.F","616401000","6.93","Germany"
"47","Bayer","BAYN.DE","612179000","29.61","Germany"
"48","Fraport","FRA.DE","592599000","52.84","Germany"
"49","Sixt","SIX2.F","584314000","98.3","Germany"
"50","GEA Group","G1A.F","581038000","41.64","Germany"
"51","KWS","KWS.F","545110000","54.14","Germany"
"52","1&1","1U1.DE","516214000","17.28","Germany"
"53","KION Group","KGX.DE","497657000","51.48","Germany"
"54","MVV Energie","MVV1.F","483502000","33.78","Germany"
"55","Symrise","SY1.DE","455733000","116.28","Germany"
"56","Fuchs Petrolub","FPE.F","451336000","40.49","Germany"
"57","Carl Zeiss Meditec","AFXA.F","444825000","112.6","Germany"
"58","MTU Aero Engines","MTX.DE","444074000","245.02","Germany"
"59","K+S","SDF.F","433669000","15.77","Germany"
"60","CTS Eventim","EVD.F","431337000","93.33","Germany"
"61","Bechtle","BC8.F","422668000","54.19","Germany"
"62","HELLA","HLE.F","421058000","89.97","Germany"
"63","Sartorius","SRT.DE","419998000","286.38","Germany"
"64","Telefónica Deutschland (O2)","O2D.DE","418985000","2.54","Germany"
"65","HUGO BOSS","BOSS.DE","396216000","55.72","Germany"
"66","Northern Data AG","NB2.DE","381337000","24.25","Germany"
"67","Krones","KRN.F","323999000","138.37","Germany"
"68","Wüstenrot &amp; Württembergische","WUW.F","314204000","14.47","Germany"
"69","IONOS Group","IOS.DE","313527000","26.04","Germany"
"70","Rational AG","RAA.F","302687000","872.67","Germany"
"71","Wacker Neuson","WAC.F","301856000","19.47","Germany"
"72","Hornbach Baumarkt","HBM.HM","287286000","54.14","Germany"
"73","Siltronic","WAF.F","278699000","87.16","Germany"
"74","Salzgitter","SZG.F","259117000","26.14","Germany"
"75","Ströer","SAX.F","246833000","59.93","Germany"
"76","Dürr","DUE.F","243515000","23.45","Germany"
"77","SMA Solar Technology","S92.F","238532000","54.3","Germany"
"78","Gerresheimer","GXI.F","236245000","112.6","Germany"
"79","Jungheinrich","JUN3.F","235567000","41.66","Germany"
"80","Dermapharm","DMP.F","225910000","34.54","Germany"
"81","Nemetschek","NEM.F","225437000","97.23","Germany"
"82","Adidas","ADS.DE","224585000","220.55","Germany"
"83","Fielmann","FIE.F","221493000","45.64","Germany"
"84","Vitesco Technologies Group","VTSC.DE","220944000","71.78","Germany"
"85","Scout24","G24.F","213971000","76.39","Germany"
"86","Freenet","FNTN.F","207898000","28.43","Germany"
"87","VIB Vermögen","VIH1.F","204528000","11.72","Germany"
"88","Hensoldt","HAG.F","199972000","44.89","Germany"
"89","Bilfinger","GBF.F","199275000","46.39","Germany"
"90","SYNLAB","SYAB.DE","184753000","11.65","Germany"
"91","Aurubis","NDA.F","183418000","75.19","Germany"
"92","Birkenstock","BIRK","178550000","44.66","Germany"
"93","Indus Holding","INH.F","174739000","28.91","Germany"
"94","TeamViewer","TMV.DE","174678000","14.35","Germany"
"95","Aixtron","AIXA.F","171423000","25.05","Germany"
"96","Zalando","ZAL.DE","169325000","28.04","Germany"
"97","Biotest","BIO.F","166171000","44.61","Germany"
"98","flatexDEGIRO AG","FTK.DE","163966000","11.36","Germany"
"99","ProCredit","PCZ.DE","162657000","9.85","Germany"
"100","Hamburger Hafen","HHFA.F","157911000","18.15","Germany"
"101","Deutsche Pfandbriefbank","PBB.DE","156546000","5.23","Germany"
"102","Drägerwerk","DRW8.F","154477000","49.48","Germany"
"103","Hornbach Holding","HBH.DE","149057000","81.75","Germany"
"104","Grenke","GLJ.F","145597000","24.74","Germany"
"105","CompuGroup Medical","COP.DE","142187000","32.52","Germany"
"106","DEUTZ","DEZ.DE","135210000","6.73","Germany"
"107","Mainova","MNV6.F","129908000","389.78","Germany"
"108","Jenoptik","JEN.F","125713000","29.49","Germany"
"109","Lechwerke","LEC.F","123775000","80.12","Germany"
"110","Pfeiffer Vacuum","PFV.F","121542000","168.25","Germany"
"111","DMG Mori","GIL.F","120824000","47.53","Germany"
"112","HelloFresh","HFG.DE","118504000","6.87","Germany"
"113","JOST Werke SE","JST.DE","112187000","52.73","Germany"
"114","Vossloh AG","VOS.DE","110869000","48.61","Germany"
"115","Knaus Tabbert AG","KTA.DE","108654000","47.31","Germany"
"116","Verbio","VBK.F","107938000","22","Germany"
"117","Villeroy &amp; Boch","VIB3.DE","106402000","20.63","Germany"
"118","Encavis","ECV.F","98510000","18.25","Germany"
"119","Nagarro","NA9.DE","94308200","81.64","Germany"
"120","Gelsenwasser","WWG.F","90176000","730.84","Germany"
"121","CropEnergies","CE2.F","88618200","12.02","Germany"
"122","Software AG","SOW.F","86391600","40.56","Germany"
"123","CEWE","CWC.F","84157900","112.39","Germany"
"124","TAKKT AG","TTK.DE","83541500","13.86","Germany"
"125","Covestro","1COV.F","76348800","56.45","Germany"
"126","Tradegate Exchange","T2G.F","74241400","118.02","Germany"
"127","Amadeus Fire","AAD.DE","69553100","130.58","Germany"
"128","E.ON","EOAN.DE","69538900","13.47","Germany"
"129","STEICO SE","ST5.DE","68181500","31.99","Germany"
"130","Energiekontor","EKT.DE","67339600","69.29","Germany"
"131","Nürnberger Versicherung","NBG6.F","59879500","70.38","Germany"
"132","ElringKlinger","ZIL2.DE","58527900","7.48","Germany"
"133","Bertrandt","BDT.DE","57478400","48.61","Germany"
"134","Simona","SIM0.F","56976900","73.62","Germany"
"135","OHB SE","OHB.DE","56127300","46.88","Germany"
