"Rank","Name","Symbol","employees_count","price (USD)","country"
"1","Volkswagen","VOW3.DE","650951","137.4","Germany"
"2","DHL Group (Deutsche Post)","DHL.DE","589184","42.76","Germany"
"3","Siemens","SIE.DE","320000","187.79","Germany"
"4","Deutsche Telekom","DTE.DE","204236","23.68","Germany"
"5","Continental","CON.DE","203593","71.48","Germany"
"6","Fresenius","FRE.DE","193527","27.83","Germany"
"7","Mercedes-Benz","MBG.DE","167397","83.03","Germany"
"8","Allianz","ALV.DE","159253","289.52","Germany"
"9","BMW","BMW.DE","149475","123.92","Germany"
"10","Fresenius Medical Care","FMS","123106","18.89","Germany"
"11","Lufthansa","LHA.DE","117187","7.71","Germany"
"12","BASF","BAS.DE","112085","58.1","Germany"
"13","SAP","SAP","106495","193.335","Germany"
"14","Daimler Truck","DTG.F","104594","51.01","Germany"
"15","Traton","8TRA.DE","102962","38.38","Germany"
"16","Bayer","BAYN.DE","100873","29.61","Germany"
"17","Thyssenkrupp","TKA.F","99981","5.73","Germany"
"18","Leoni AG","LEO.DE","95090","0.04","Germany"
"19","Siemens Energy","ENR.F","94000","19.65","Germany"
"20","Deutsche Bank","DB","89260","16.145","Germany"
"21","Metro AG","B4B.F","86910","5.51","Germany"
"22","Schaeffler","SHA.F","83600","6.93","Germany"
"23","Siemens Healthineers","SHL.DE","71000","60.33","Germany"
"24","Merck KGaA","MRK.DE","63297","165.44","Germany"
"25","E.ON","EOAN.DE","63213","13.47","Germany"
"26","Infineon","IFX.DE","58590","35.01","Germany"
"27","TUI","TUI1.F","54947","8.52","Germany"
"28","Adidas","ADS.DE","51777","220.55","Germany"
"29","HeidelbergCement","HEI.DE","51492","106.8","Germany"
"30","Henkel","HEN3.DE","48050","78.52","Germany"
"31","Delivery Hero","DHER.F","47208","34.66","Germany"
"32","Munich RE (Münchener Rück)","MUV2.DE","42562","460.7","Germany"
"33","KION Group","KGX.DE","41827","51.48","Germany"
"34","Hochtief","HOT.F","41058","112.06","Germany"
"35","Commerzbank","CBK.F","38307","14.56","Germany"
"36","HELLA","HLE.F","37743","89.97","Germany"
"37","Porsche","P911.DE","36688","101.6","Germany"
"38","Vitesco Technologies Group","VTSC.DE","36673","71.78","Germany"
"39","Evonik Industries","EVK.DE","33575","20.82","Germany"
"40","Knorr-Bremse","KBX.DE","33025","75.25","Germany"
"41","Bilfinger","GBF.F","29077","46.39","Germany"
"42","EnBW Energie","EBK.DE","26415","79.04","Germany"
"43","Hornbach Holding","HBH.DE","25205","81.75","Germany"
"44","SYNLAB","SYAB.DE","24907","11.65","Germany"
"45","Salzgitter","SZG.F","24453","26.14","Germany"
"46","Rheinmetall","RHM.F","24263","595.93","Germany"
"47","Talanx","TLX.DE","24000","77.2","Germany"
"48","Fielmann","FIE.F","23870","45.64","Germany"
"49","Hornbach Baumarkt","HBM.HM","23114","54.14","Germany"
"50","BayWa","BYW.F","22508","35.19","Germany"
"51","Beiersdorf","BEI.DE","21640","140.27","Germany"
"52","Jungheinrich","JUN3.F","20845","41.66","Germany"
"53","Dürr","DUE.F","20664","23.45","Germany"
"54","PUMA","PUM.DE","20000","46.02","Germany"
"55","RWE","RWE.DE","19884","33.6","Germany"
"56","GEA Group","G1A.F","19700","41.64","Germany"
"57","HelloFresh","HFG.DE","19595","6.87","Germany"
"58","Südzucker","SZU.F","19387","14.44","Germany"
"59","Nagarro","NA9.DE","19182","81.64","Germany"
"60","Krones","KRN.F","18691","138.37","Germany"
"61","Fraport","FRA.DE","18377","52.84","Germany"
"62","HUGO BOSS","BOSS.DE","18338","55.72","Germany"
"63","Rhön-Klinikum","RHK.DE","18158","12.67","Germany"
"64","Covestro","1COV.F","17536","56.45","Germany"
"65","Brenntag","BNR.DE","17500","82.2","Germany"
"66","Wacker Chemie","WCH.F","16391","124.51","Germany"
"67","Drägerwerk","DRW8.F","16260","49.48","Germany"
"68","Zalando","ZAL.DE","16161","28.04","Germany"
"69","Hapag-Lloyd","HLAG.DE","16068","153.85","Germany"
"70","Sartorius","SRT.DE","15942","286.38","Germany"
"71","Vonovia","VNA.DE","15798","27.66","Germany"
"72","Bechtle","BC8.F","14840","54.19","Germany"
"73","Bertrandt","BDT.DE","13949","48.61","Germany"
"74","Lanxess","LXS.F","12993","30.08","Germany"
"75","Symrise","SY1.DE","12265","116.28","Germany"
"76","Gerresheimer","GXI.F","11398","112.6","Germany"
"77","K+S","SDF.F","11393","15.77","Germany"
"78","MTU Aero Engines","MTX.DE","11273","245.02","Germany"
"79","Deutsche Börse","DB1.DE","11078","201.93","Germany"
"80","Aurelius Group","AR4.DE","11057","19.24","Germany"
"81","United Internet","UTDI.F","10761","23.32","Germany"
"82","Ströer","SAX.F","10576","59.93","Germany"
"83","Paul Hartmann","PHH2.F","10285","232.78","Germany"
"84","Nordex","NDX1.F","9908","13.27","Germany"
"85","ElringKlinger","ZIL2.DE","9625","7.48","Germany"
"86","adesso SE","ADN1.DE","9222","120.18","Germany"
"87","CompuGroup Medical","COP.DE","8904","32.52","Germany"
"88","Indus Holding","INH.F","8897","28.91","Germany"
"89","Klöckner &amp; Co","KCO.DE","7774","7.37","Germany"
"90","Sixt","SIX2.F","7509","98.3","Germany"
"91","DMG Mori","GIL.F","7464","47.53","Germany"
"92","ProSiebenSat.1 Media","PSM.F","7274","7.8","Germany"
"93","Telefónica Deutschland (O2)","O2D.DE","7253","2.54","Germany"
"94","Aurubis","NDA.F","7016","75.19","Germany"
"95","Uniper","UN0.DE","6754","55.26","Germany"
"96","Hamburger Hafen","HHFA.F","6717","18.15","Germany"
"97","Hensoldt","HAG.F","6463","44.89","Germany"
"98","Wüstenrot &amp; Württembergische","WUW.F","6390","14.47","Germany"
"99","MVV Energie","MVV1.F","6315","33.78","Germany"
"100","Wacker Neuson","WAC.F","6301","19.47","Germany"
"101","Fuchs Petrolub","FPE.F","6261","40.49","Germany"
"102","AUTO1","AG1.F","6094","5.32","Germany"
"103","Villeroy &amp; Boch","VIB3.DE","6080","20.63","Germany"
"104","Norma Group","NOEJ.F","6051","19.08","Germany"
"105","Koenig &amp; Bauer","SKB.DE","5765","13.34","Germany"
"106","Cancom","COK.F","5532","32.5","Germany"
"107","BioNTech","BNTX","5500","89.63","Germany"
"108","Birkenstock","BIRK","5300","44.66","Germany"
"109","DEUTZ","DEZ.DE","5275","6.73","Germany"
"110","KWS","KWS.F","5219","54.14","Germany"
"111","Evotec","EVO","5086","7.85","Germany"
"112","Deutsche Wohnen","DWNI.DE","4721","19.32","Germany"
"113","Software AG","SOW.F","4699","40.56","Germany"
"114","Jenoptik","JEN.F","4590","29.49","Germany"
"115","JOST Werke SE","JST.DE","4500","52.73","Germany"
"116","Siltronic","WAF.F","4500","87.16","Germany"
"117","Nürnberger Versicherung","NBG6.F","4362","70.38","Germany"
"118","DWS Group","DWS.F","4329","44.8","Germany"
"119","IONOS Group","IOS.DE","4325","26.04","Germany"
"120","Jumia","JMIA","4318","5.18","Germany"
