"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Volkswagen","VOW3.DE","335044741536","137.4","Germany"
"2","Mercedes-Benz","MBG.DE","166284894808","83.03","Germany"
"3","BMW","BMW.DE","163595437152","123.92","Germany"
"4","Deutsche Telekom","DTE.DE","120413978460","23.68","Germany"
"5","Uniper","UN0.DE","117386524713","55.35","Germany"
"6","Allianz","ALV.DE","104297192691","289.52","Germany"
"7","E.ON","EOAN.DE","101888903112","13.47","Germany"
"8","DHL Group (Deutsche Post)","DHL.DE","90606481835","42.76","Germany"
"9","Siemens","SIE.DE","84659305385","187.79","Germany"
"10","BASF","BAS.DE","74777726976","58.1","Germany"
"11","Munich RE (Münchener Rück)","MUV2.DE","69332154062","460.7","Germany"
"12","Daimler Truck","DTG.F","60650854536","51.01","Germany"
"13","EnBW Energie","EBK.DE","55203572612","79.04","Germany"
"14","Bayer","BAYN.DE","51734351754","29.61","Germany"
"15","Traton","8TRA.DE","50879418590","38.38","Germany"
"16","Continental","CON.DE","44939716644","71.48","Germany"
"17","Porsche","P911.DE","43985504422","101.6","Germany"
"18","Thyssenkrupp","TKA.F","39805183161","5.73","Germany"
"19","Lufthansa","LHA.DE","38397584480","7.71","Germany"
"20","Fresenius","FRE.DE","34515597151","27.83","Germany"
"21","Siemens Energy","ENR.F","34371042939","19.65","Germany"
"22","Deutsche Bank","DB","33927870087","16.145","Germany"
"23","SAP","SAP","33868746805","193.335","Germany"
"24","Metro AG","B4B.F","32859432481","5.51","Germany"
"25","RWE","RWE.DE","31039114385","33.58","Germany"
"26","Hochtief","HOT.F","30104441255","112.06","Germany"
"27","Hannover Rück","HNR1.DE","28435386524","257.8","Germany"
"28","BayWa","BYW.F","27510397770","35.19","Germany"
"29","Siemens Healthineers","SHL.DE","23602896084","60.33","Germany"
"30","Adidas","ADS.DE","23214948889","220.55","Germany"
"31","TUI","TUI1.F","22895365108","8.52","Germany"
"32","Merck KGaA","MRK.DE","22776131391","165.44","Germany"
"33","Henkel","HEN3.DE","22494502907","78.52","Germany"
"34","HeidelbergCement","HEI.DE","21780498967","106.8","Germany"
"35","Fresenius Medical Care","FMS","21103685139","18.89","Germany"
"36","Hapag-Lloyd","HLAG.DE","19453431631","154.07","Germany"
"37","Aurubis","NDA.F","18260672380","75.19","Germany"
"38","Brenntag","BNR.DE","18241541742","82.2","Germany"
"39","Schaeffler","SHA.F","17698262421","6.93","Germany"
"40","Infineon","IFX.DE","17413040177","35.01","Germany"
"41","Evonik Industries","EVK.DE","16560408050","20.82","Germany"
"42","Covestro","1COV.F","15593476510","56.45","Germany"
"43","Talanx","TLX.DE","14823006260","77.2","Germany"
"44","Gelsenwasser","WWG.F","14315166054","730.84","Germany"
"45","Commerzbank","CBK.F","12854455041","14.56","Germany"
"46","KION Group","KGX.DE","12411667925","51.48","Germany"
"47","Salzgitter","SZG.F","11705039544","26.14","Germany"
"48","Zalando","ZAL.DE","11020325752","28.04","Germany"
"49","Südzucker","SZU.F","11003408025","14.44","Germany"
"50","Vitesco Technologies Group","VTSC.DE","10019329614","71.78","Germany"
"51","PUMA","PUM.DE","9323612953","46.02","Germany"
"52","Telefónica Deutschland (O2)","O2D.DE","8737028313","2.54","Germany"
"53","Knorr-Bremse","KBX.DE","8600725837","75.25","Germany"
"54","HELLA","HLE.F","8487388582","89.97","Germany"
"55","HelloFresh","HFG.DE","8243679615","6.87","Germany"
"56","Lanxess","LXS.F","7807654149","30.08","Germany"
"57","Klöckner &amp; Co","KCO.DE","7528145879","7.37","Germany"
"58","Rheinmetall","RHM.F","7457433116","595.93","Germany"
"59","Beiersdorf","BEI.DE","7394350034","140.27","Germany"
"60","MVV Energie","MVV1.F","7393239159","33.78","Germany"
"61","Bechtle","BC8.F","6976694125","54.19","Germany"
"62","Nordex","NDX1.F","6767003349","13.27","Germany"
"63","United Internet","UTDI.F","6741420757","23.32","Germany"
"64","Hornbach Holding","HBH.DE","6686805936","81.75","Germany"
"65","Hornbach Baumarkt","HBM.HM","6411655010","54.14","Germany"
"66","Deutsche Börse","DB1.DE","6237672186","201.93","Germany"
"67","Wüstenrot &amp; Württembergische","WUW.F","6043479403","14.47","Germany"
"68","AUTO1","AG1.F","6014808898","5.32","Germany"
"69","Porsche SE","PAH3.DE","5914162326","55.57","Germany"
"70","GEA Group","G1A.F","5830138204","41.64","Germany"
"71","Leoni AG","LEO.DE","5734034039","0.04","Germany"
"72","Vonovia","VNA.DE","5659184486","27.65","Germany"
"73","Wacker Chemie","WCH.F","5510424380","124.51","Germany"
"74","MTU Aero Engines","MTX.DE","5057096898","245.02","Germany"
"75","Dürr","DUE.F","5022406447","23.45","Germany"
"76","Krones","KRN.F","5005652920","138.37","Germany"
"77","Bilfinger","GBF.F","4867434527","46.39","Germany"
"78","DWS Group","DWS.F","4725529473","44.8","Germany"
"79","1&1","1U1.DE","4444596190","17.28","Germany"
"80","HUGO BOSS","BOSS.DE","4398797733","55.72","Germany"
"81","Fraport","FRA.DE","4331966567","52.84","Germany"
"82","K+S","SDF.F","4204740530","15.77","Germany"
"83","ProSiebenSat.1 Media","PSM.F","4186572054","7.8","Germany"
"84","BioNTech","BNTX","4155844142","89.66","Germany"
"85","Fuchs Petrolub","FPE.F","3841104320","40.49","Germany"
"86","Sixt","SIX2.F","3753583940","98.3","Germany"
"87","Sartorius","SRT.DE","3685176656","286.38","Germany"
"88","Drägerwerk","DRW8.F","3665014783","49.48","Germany"
"89","Symrise","SY1.DE","3330093975","116.28","Germany"
"90","Jungheinrich","JUN3.F","3045713878","41.66","Germany"
"91","SYNLAB","SYAB.DE","2897482653","11.65","Germany"
"92","Wacker Neuson","WAC.F","2826328170","19.47","Germany"
"93","Freenet","FNTN.F","2804106448","28.43","Germany"
"94","Nürnberger Versicherung","NBG6.F","2748365735","70.38","Germany"
"95","Deutsche Wohnen","DWNI.DE","2647104452","19.32","Germany"
"96","Paul Hartmann","PHH2.F","2601726921","232.78","Germany"
"97","Lechwerke","LEC.F","2571186531","80.12","Germany"
"98","DMG Mori","GIL.F","2499646778","47.53","Germany"
"99","Carl Zeiss Meditec","AFXA.F","2269022152","112.6","Germany"
"100","DEUTZ","DEZ.DE","2238372611","6.73","Germany"
"101","Gerresheimer","GXI.F","2153675319","112.6","Germany"
