Fund Holdings as of,"2024/04/02"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"9983","FAST RETAILING LTD","Retail Trade","Equity","167,154,840,000.00","11.44","167,154,840,000.00","3,558,000.00","46,980.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8035","TOKYO ELECTRON LTD","Electric Appliances","Equity","140,932,380,000.00","9.65","140,932,380,000.00","3,558,000.00","39,610.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9984","SOFTBANK GROUP CORP","Information & Communication","Equity","62,592,336,000.00","4.28","62,592,336,000.00","7,116,000.00","8,796.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6857","ADVANTEST CORP","Electric Appliances","Equity","61,083,744,000.00","4.18","61,083,744,000.00","9,488,000.00","6,438.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Chemicals","Equity","37,756,310,000.00","2.58","37,756,310,000.00","5,930,000.00","6,367.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9433","KDDI CORP","Information & Communication","Equity","31,673,316,000.00","2.17","31,673,316,000.00","7,116,000.00","4,451.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6762","TDK CORP","Electric Appliances","Equity","26,507,100,000.00","1.81","26,507,100,000.00","3,558,000.00","7,450.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4543","TERUMO CORP","Precision Instruments","Equity","25,612,856,000.00","1.75","25,612,856,000.00","9,488,000.00","2,699.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6954","FANUC CORP","Electric Appliances","Equity","24,734,030,000.00","1.69","24,734,030,000.00","5,930,000.00","4,171.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6367","DAIKIN INDUSTRIES LTD","Machinery","Equity","24,716,240,000.00","1.69","24,716,240,000.00","1,186,000.00","20,840.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6098","RECRUIT HOLDINGS LTD","Services","Equity","23,472,126,000.00","1.61","23,472,126,000.00","3,558,000.00","6,597.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7203","TOYOTA MOTOR CORP","Transportation Equipment","Equity","21,543,690,000.00","1.47","21,543,690,000.00","5,930,000.00","3,633.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6920","LASERTEC CORP","Electric Appliances","Equity","19,825,176,000.00","1.36","19,825,176,000.00","474,400.00","41,790.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4519","CHUGAI PHARMACEUTICAL LTD","Pharmaceutical","Equity","19,793,154,000.00","1.35","19,793,154,000.00","3,558,000.00","5,563.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6971","KYOCERA CORP","Electric Appliances","Equity","18,700,848,000.00","1.28","18,700,848,000.00","9,488,000.00","1,971.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4568","DAIICHI SANKYO LTD","Pharmaceutical","Equity","16,484,214,000.00","1.13","16,484,214,000.00","3,558,000.00","4,633.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6988","NITTO DENKO CORP","Chemicals","Equity","16,443,890,000.00","1.13","16,443,890,000.00","1,186,000.00","13,865.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6758","SONY GROUP CORP","Electric Appliances","Equity","15,453,580,000.00","1.06","15,453,580,000.00","1,186,000.00","13,030.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"JPY","JPY CASH","Other","Cash","14,850,229,560.75","1.02","14,850,229,560.75","14,850,229,561.00","100.00","Japan","-","JPY","1.00","JPY"
"9613","NTT DATA GROUP CORP","Information & Communication","Equity","14,033,345,000.00","0.96","14,033,345,000.00","5,930,000.00","2,366.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9843","NITORI HOLDINGS LTD","Retail Trade","Equity","13,784,285,000.00","0.94","13,784,285,000.00","593,000.00","23,245.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6146","DISCO CORP","Machinery","Equity","13,522,772,000.00","0.93","13,522,772,000.00","237,200.00","57,010.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6902","DENSO CORP","Transportation Equipment","Equity","13,242,876,000.00","0.91","13,242,876,000.00","4,744,000.00","2,791.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7267","HONDA MOTOR LTD","Transportation Equipment","Equity","13,118,346,000.00","0.90","13,118,346,000.00","7,116,000.00","1,843.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9735","SECOM LTD","Services","Equity","12,767,290,000.00","0.87","12,767,290,000.00","1,186,000.00","10,765.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8058","MITSUBISHI CORP","Wholesale Trade","Equity","12,271,542,000.00","0.84","12,271,542,000.00","3,558,000.00","3,449.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"9766","KONAMI GROUP CORP","Information & Communication","Equity","11,990,460,000.00","0.82","11,990,460,000.00","1,186,000.00","10,110.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4901","FUJIFILM HOLDINGS CORP","Chemicals","Equity","11,855,256,000.00","0.81","11,855,256,000.00","3,558,000.00","3,332.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8015","TOYOTA TSUSHO CORP","Wholesale Trade","Equity","11,826,792,000.00","0.81","11,826,792,000.00","1,186,000.00","9,972.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"2801","KIKKOMAN CORP","Foods","Equity","11,201,770,000.00","0.77","11,201,770,000.00","5,930,000.00","1,889.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7741","HOYA CORP","Precision Instruments","Equity","11,053,520,000.00","0.76","11,053,520,000.00","593,000.00","18,640.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6273","SMC (JAPAN) CORP","Machinery","Equity","10,249,412,000.00","0.70","10,249,412,000.00","118,600.00","86,420.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7733","OLYMPUS CORP","Precision Instruments","Equity","10,156,904,000.00","0.70","10,156,904,000.00","4,744,000.00","2,141.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7832","BANDAI NAMCO HOLDINGS INC","Other Products","Equity","9,944,610,000.00","0.68","9,944,610,000.00","3,558,000.00","2,795.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4503","ASTELLAS PHARMA INC","Pharmaceutical","Equity","9,775,605,000.00","0.67","9,775,605,000.00","5,930,000.00","1,648.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7974","NINTENDO LTD","Other Products","Equity","9,662,342,000.00","0.66","9,662,342,000.00","1,186,000.00","8,147.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4704","TREND MICRO INC","Information & Communication","Equity","9,420,398,000.00","0.64","9,420,398,000.00","1,186,000.00","7,943.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7735","SCREEN HOLDINGS LTD","Electric Appliances","Equity","8,947,184,000.00","0.61","8,947,184,000.00","474,400.00","18,860.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4507","SHIONOGI LTD","Pharmaceutical","Equity","8,923,464,000.00","0.61","8,923,464,000.00","1,186,000.00","7,524.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6861","KEYENCE CORP","Electric Appliances","Equity","8,330,464,000.00","0.57","8,330,464,000.00","118,600.00","70,240.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7269","SUZUKI MOTOR CORP","Transportation Equipment","Equity","8,316,232,000.00","0.57","8,316,232,000.00","4,744,000.00","1,753.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8766","TOKIO MARINE HOLDINGS INC","Insurance","Equity","8,300,814,000.00","0.57","8,300,814,000.00","1,779,000.00","4,666.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8031","MITSUI LTD","Wholesale Trade","Equity","8,205,934,000.00","0.56","8,205,934,000.00","1,186,000.00","6,919.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6981","MURATA MANUFACTURING LTD","Electric Appliances","Equity","8,021,155,200.00","0.55","8,021,155,200.00","2,846,400.00","2,818.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"7751","CANON INC","Electric Appliances","Equity","8,000,163,000.00","0.55","8,000,163,000.00","1,779,000.00","4,497.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"5108","BRIDGESTONE CORP","Rubber Products","Equity","7,815,740,000.00","0.53","7,815,740,000.00","1,186,000.00","6,590.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6506","YASKAWA ELECTRIC CORP","Electric Appliances","Equity","7,649,700,000.00","0.52","7,649,700,000.00","1,186,000.00","6,450.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3382","SEVEN & I HOLDINGS LTD","Retail Trade","Equity","7,576,761,000.00","0.52","7,576,761,000.00","3,558,000.00","2,129.50","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4578","OTSUKA HOLDINGS LTD","Pharmaceutical","Equity","7,554,820,000.00","0.52","7,554,820,000.00","1,186,000.00","6,370.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8001","ITOCHU CORP","Wholesale Trade","Equity","7,542,960,000.00","0.52","7,542,960,000.00","1,186,000.00","6,360.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4523","EISAI LTD","Pharmaceutical","Equity","7,222,740,000.00","0.49","7,222,740,000.00","1,186,000.00","6,090.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4452","KAO CORP","Chemicals","Equity","6,878,800,000.00","0.47","6,878,800,000.00","1,186,000.00","5,800.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"4021","NISSAN CHEMICAL CORP","Chemicals","Equity","6,819,500,000.00","0.47","6,819,500,000.00","1,186,000.00","5,750.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Real Estate ex REIT","Equity","6,628,554,000.00","0.45","6,628,554,000.00","1,186,000.00","5,589.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
